Z,A,emax,e3max,hw,E_HF,E_MP2,E_HF + E_IMSRG,Ecorr_MP3
8,14,14,24,16,-64.054065909,-30.581905707,-96.500317,-1.83539682
8,16,14,24,16,-90.318872168,-33.419112311,-127.206853,-2.63240640
8,22,14,24,16,-108.718932558,-45.080948173,-157.120168,-3.12234848
8,24,14,24,16,-113.742801867,-47.685168363,-164.225759,-2.61011779
8,28,14,24,16,-110.370928580,-50.803427299,-162.738338,-1.51922454
20,34,14,24,16,-164.149074737,-74.661880375,-243.266178,-5.16450731
20,36,14,24,16,-194.821911941,-81.690308858,-281.987127,-5.90818364
20,40,14,24,16,-247.199334926,-90.664561099,-344.586548,-7.07619097
20,48,14,24,16,-303.581268972,-105.917019016,-416.399085,-7.91496543
20,52,14,24,16,-317.521673891,-114.190279517,-438.652401,-7.73686592
20,54,14,24,16,-321.882563294,-116.680437874,-445.208178,-7.53492629
20,58,14,24,16,-323.562484609,-115.457285490,-443.473922,-5.55792506
20,60,14,24,16,-325.922834222,-123.838044028,-454.102996,-5.64135520
28,48,14,24,16,-235.930645155,-105.812513071,-348.662805,-7.69440141
28,56,14,24,16,-344.464414235,-128.521918914,-484.297798,-12.02329859
28,60,14,24,16,-373.458646272,-142.903472644,-526.852422,-12.41005739
28,66,14,24,16,-420.909651773,-149.295237818,-579.198811,-11.13865711
28,68,14,24,16,-434.739419693,-151.890509448,-594.397487,-10.32918749
28,78,14,24,16,-460.160399042,-167.174658813,-636.458270,-11.39718435
28,86,14,24,12,-460.976270312,-178.791647165,-647.958812,-10.78921327
50,88,14,24,16,-405.146177080,-202.335487557,-618.226964,-14.48279512
50,90,14,24,16,-442.248220819,-207.292198190,-660.955661,-14.82811676
50,100,14,24,14,-592.585720470,-231.117463512,-839.252098,-18.84032649
50,108,14,24,14,-658.015480476,-250.034314801,-922.016522,-18.87357536
50,114,14,24,16,-705.196756835,-264.343704664,-983.844785,-19.50952856
50,118,14,24,16,-730.656134201,-265.722232233,-1009.203585,-18.41830985
50,120,14,24,14,-744.890990041,-275.185417527,-1032.237237,-18.41967825
50,132,14,24,14,-806.387830275,-290.780776400,-1110.602464,-18.84962923
50,142,14,24,12,-805.727269879,-305.968432629,-1123.705258,-18.14094801
50,150,14,24,10,-805.326618855,-309.993122484,-1125.612220,-16.68712006
82,164,14,24,12,-826.302766393,-382.037486826,-1228.226738,-27.80617950
82,172,14,24,12,-900.787431792,-392.779938821,-1311.612762,-27.96235834
82,174,14,24,12,-920.583266110,-404.672318215,-1343.221791,-27.83601089
82,182,14,24,12,-989.737702563,-423.943639631,-1432.553938,-29.61018018
82,188,14,24,10,-1029.570155029,-416.734170606,-1462.191053,-6.57732779
82,194,14,24,12,-1070.788290719,-421.797061239,-1509.828487,-29.22766928
82,208,14,24,12,-1172.566808670,-461.127508691,-1651.654843,-28.43664533
