Z, A, emax, e3max, hw, E_HF, E_MP2, E_HF + E_IMSRG, Ecorr_MP3
8,14,14,24,12,-49.460299969,-47.171635890,-97.969549,-1.87267736
8,16,14,24,12,-69.541799821,-54.876406961,-126.183762,-2.40032863
8,22,14,24,12,-84.329987588,-73.070189405,-160.219848,-3.80727345
8,24,14,24,12,-86.684128962,-77.790622719,-166.673012,-3.31787821
8,28,14,24,12,-80.512000305,-86.453078560,-165.958389,-0.87148236
20,34,14,24,12,-116.562601908,-124.996656264,-244.372685,-6.61376515
20,36,14,24,12,-139.267848021,-138.720386192,-280.566598,-7.42330587
20,40,14,24,12,-180.212263355,-157.953089520,-339.516367,-7.72385985
20,48,14,24,12,-226.577234659,-184.361731512,-415.116590,-10.67303568
20,52,14,24,12,-233.812436175,-198.235679878,-435.621694,-10.50345459
20,54,14,24,12,-236.010668586,-203.246309419,-442.594921,-10.14108526
20,58,14,24,12,-234.689355368,-207.638217920,-440.759192,-5.60658574
20,60,14,24,12,-235.307776804,-221.568457011,-452.969105,-5.22308590
28,48,14,24,12,-161.887381513,-183.760968303,-348.917682,-9.86752028
28,56,14,24,12,-249.427917409,-221.912155735,-482.454093,-18.08832300
28,60,14,24,12,-272.089967499,-228.100436126,-507.330079,-16.07409977
28,66,14,24,12,-306.754878848,-262.634447171,-573.401819,-14.88615874
28,68,14,24,12,-316.545343482,-269.348458532,-588.538875,-13.94434461
28,78,14,24,12,-333.313117610,-298.297676344,-636.133618,-16.36098972
28,86,14,24,12,-325.291906159,-318.298609453,-646.281598,-15.63358252
50,88,14,24,12,-251.389934212,-361.295694715,-614.009642,-18.48026199
50,90,14,24,12,-280.472503531,-372.514552662,-654.433549,-19.27699909
50,100,14,24,12,-401.713785216,-416.723074942,-828.696229,-28.31839034
50,108,14,24,12,-454.387772408,-450.741703401,-909.389600,-25.34452405
50,114,14,24,12,-487.958655417,-478.177142313,-968.627450,-26.17213173
50,118,14,24,12,-505.712844068,-485.240796937,-991.347227,-24.70066940
50,120,14,24,12,-514.911551417,-501.253820006,-1015.233847,-24.61936298
50,132,14,24,12,-561.872874749,-533.839874822,-1097.869426,-27.21711790
50,142,14,24,10,-551.515477381,-554.274704147,-1103.891339,-24.95444798
50,150,14,24,12,-541.217036075,-588.715466132,-1117.883049,-18.03545376
82,164,14,24,12,-496.315455780,-703.946232189,-1204.799260,-40.66103311
82,172,14,24,12,-557.408735208,-724.211224258,-1281.269801,-37.92481159
82,174,14,24,12,-573.591043693,-743.289663399,-1314.621872,-37.23746480
82,182,14,24,12,-622.359666040,-779.618913652,-1398.395598,-39.56279060
82,188,14,24,12,-652.594646778,-769.731801342,-1423.437663,-43.19864963
82,194,14,24,12,-684.981166452,-808.145619832,-1493.694872,-43.00450603
82,208,14,24,12,-757.005912984,-856.378813943,-1608.693248,-40.11541549
